rule_id,target_quality_label,priority,condition_summary,stock_constrained_flag,stock_integrity_issue_flag,sufficient_stock_observed_flag,sufficient_stock_demand_units_target,target_weight,action
RULE_EXCLUDE_INTEGRITY,INVENTORY_INTEGRITY_CONTAMINATED,1,current_soh < 0 OR stock_basis_units <= 0 with actual_units_sold > 0 OR stock_basis missing with sales > 0,NA,1,0,NA,0.0,EXCLUDE
RULE_EXCLUDE_NO_STOCK_BASIS,INSUFFICIENT_EVIDENCE,2,stock_basis_units is null OR stock_basis_units <= 0 AND actual_units_sold == 0 AND promo_sales_day_count == 0,0,0,0,NA,0.0,EXCLUDE — do not train as zero demand
RULE_EXCLUDE_SPARSE_NO_SALES,INSUFFICIENT_EVIDENCE,3,actual_units_sold == 0 AND promo_sales_day_count == 0 AND feature_no_promo_history_flag == 1 AND baseline_expected_units <= tiny threshold,0,0,0,NA,0.0,EXCLUDE — insufficient evidence not zero label
RULE_CLEAN_SELLTHROUGH,CLEAN_REALIZED_DEMAND,10,NOT integrity issue AND stock_basis > 0 AND target_sell_through_pct < 0.85 AND target_stockout_flag == 0 AND target_underallocation_flag == 0,0,0,1,realized_sales_units,1.0,USE CLEAN
RULE_CLEAN_LEFTOVER, CLEAN_REALIZED_DEMAND,11,NOT integrity issue AND stock_basis > 0 AND target_leftover_stock_pct >= 0.05 AND target_stockout_flag == 0,0,0,1,realized_sales_units,1.0,USE CLEAN
RULE_CLEAN_MODERATE_SELLTHROUGH,CLEAN_REALIZED_DEMAND,12,NOT integrity issue AND stock_basis > 0 AND 0.85 <= sell_through < 0.98 AND post_14d_units == 0 AND underallocation == 0,0,0,1,realized_sales_units,0.85,USE CLEAN lower weight — borderline saturation
RULE_STOCKOUT_REPAIR_POST14,STOCK_CONSTRAINED_REPAIRED,20,target_stockout_flag == 1 AND post_14d_units > 0 AND NOT integrity issue,1,0,0,realized + min(post_14d_units post_14d_units*0.5) capped at demand_reference,0.50,REPAIR with follow-through uplift
RULE_STOCKOUT_REPAIR_SATURATED,STOCK_CONSTRAINED_REPAIRED,21,target_stockout_flag == 1 AND target_sell_through_pct >= 0.98 AND NOT integrity issue,1,0,0,max(realized min(demand_reference stock_basis*1.15)),0.40,REPAIR bounded by prior reference not feature consensus
RULE_UNDERALLOC_REPAIR,STOCK_CONSTRAINED_REPAIRED,22,target_underallocation_flag == 1 AND target_stockout_flag == 0 AND NOT integrity issue,1,0,0,max(realized demand_reference*0.85),0.35,REPAIR mild underallocation
RULE_PARTIAL_WINDOW_LOW_DAYS,STOCK_CONSTRAINED_REPAIRED,23,promo_sales_day_count > 0 AND promo_sales_day_count < 0.5 * live_promo_window_days AND sell_through >= 0.90,1,0,0,max(realized baseline_expected_units),0.30,REPAIR partial selling window
RULE_CONTAMINATED_UNREPAIRABLE,INVENTORY_INTEGRITY_CONTAMINATED,5,integrity issue OR (stockout AND demand_reference missing AND post_14d == 0),NA,1,0,NA,0.0,EXCLUDE
RULE_FEATURE_CONSENSUS,EXCLUDED_FROM_TARGET,99,NEVER — feature_probability_expected_units_consensus or feature consensus fields,NA,NA,NA,NA,0.0,NEVER use as target; diagnostic only
