feature_name,feature_family,issue_type,severity,affected_rows,likely_root_cause,recommended_fix,source_module_to_check,can_use_as_model_input_now_flag,expected_value_if_fixed
sku_number,identity,TEXT_FIELD_NEEDS_ENCODING_POLICY,LOW,3531,High-cardinality text needs policy,"Hash, bucket, or exclude from model",promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
sku_description,identity,TEXT_FIELD_NEEDS_ENCODING_POLICY,LOW,3531,High-cardinality text needs policy,"Hash, bucket, or exclude from model",promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
operator_decision,other,LEAKAGE_RISK,HIGH,3531,Field resembles target/action/post-promo outcome,Block from model; allow diagnostics only,promo_brain_leakage_audit,NO,Populated values with acceptable missingness
order_units,other,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
reason_short,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
risk_flag,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
review_flag,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
audit_notes,other,TEXT_FIELD_NEEDS_ENCODING_POLICY,LOW,3531,High-cardinality text needs policy,"Hash, bucket, or exclude from model",promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
store_action_label,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
store_action_label_v2,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
store_action_reason,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
store_action,other,LEAKAGE_RISK,HIGH,3531,Field resembles target/action/post-promo outcome,Block from model; allow diagnostics only,promo_brain_leakage_audit,NO,Populated values with acceptable missingness
operator_status,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
execution_readiness_status,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
demand_evidence_label,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
availability_risk_label,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
capital_drag_label,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
primary_review_reason,other,DATE_DETECTION_FALSE_POSITIVE,LOW,972,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
blocker_reason,other,DATE_DETECTION_FALSE_POSITIVE,LOW,699,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
human_review_required_flag,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
low_nonzero_value_relief_delta,other,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
raw_model_order_units,other,LEAKAGE_RISK,HIGH,3531,Field resembles target/action/post-promo outcome,Block from model; allow diagnostics only,promo_brain_leakage_audit,NO,Populated values with acceptable missingness
provisional_review_order_units,other,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
final_store_order_units,other,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
raw_model_order_value,other,LEAKAGE_RISK,HIGH,3531,Field resembles target/action/post-promo outcome,Block from model; allow diagnostics only,promo_brain_leakage_audit,NO,Populated values with acceptable missingness
provisional_review_order_value,other,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
final_store_order_value,other,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
low_soh_policy_version,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
low_soh_policy_candidate_flag,date_field,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
low_soh_policy_production_eligible_flag,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
low_soh_policy_final_order_units,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
low_soh_policy_shadow_order_units,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
low_soh_policy_capital_at_risk,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
low_soh_policy_reason,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
low_soh_policy_guardrail_status,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
low_soh_policy_blocker_reason,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3480,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
low_soh_policy_decision_source,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
shadow_policy_name,shadow_brain,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
shadow_policy_version,shadow_brain,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
