graph_component,node_or_edge_type,current_coverage,target_coverage,missing_reason,raw_data_available_flag,derived_feature_possible_flag,recommended_repair,implementation_complexity,expected_decision_value,priority
DAG_NODE,raw_transaction_history,YES,YES,,YES,YES,USE_RAW_COLUMN,LOW,MEDIUM,2
DAG_NODE,raw_stock_position,NO,YES,COLUMN_MISSING,NO,MAYBE,MERGE_EXISTING_DERIVED_FEATURE,MEDIUM,MEDIUM,2
DAG_NODE,raw_supplier_history,YES,YES,,PARTIAL,YES,USE_RAW_COLUMN,LOW,MEDIUM,2
DAG_NODE,raw_promo_advice,NO,YES,COLUMN_MISSING,NO,MAYBE,MERGE_EXISTING_DERIVED_FEATURE,MEDIUM,MEDIUM,2
DAG_NODE,basket_attachment,NO,YES,COLUMN_MISSING,NO,YES,LABEL_MISSING_DO_NOT_INVENT,MEDIUM,MEDIUM,2
DAG_NODE,mission_sku_role,YES,YES,,PARTIAL,YES,USE_RAW_COLUMN,LOW,MEDIUM,2
DAG_NODE,available_to_sell_confidence,YES,YES,,PARTIAL,YES,USE_RAW_COLUMN,LOW,MEDIUM,2
DAG_NODE,promo_uplift_estimate,NO,YES,COLUMN_MISSING,NO,YES,LABEL_MISSING_DO_NOT_INVENT,MEDIUM,MEDIUM,2
DAG_NODE,optimal_stock_target,NO,YES,COLUMN_MISSING,NO,YES,LABEL_MISSING_DO_NOT_INVENT,MEDIUM,MEDIUM,2
DAG_NODE,adjacent_path_simulation,YES,YES,,PARTIAL,YES,USE_RAW_COLUMN,LOW,MEDIUM,2
DAG_NODE,brain_forecast,YES,YES,,YES,YES,USE_RAW_COLUMN,LOW,HIGH,2
DAG_NODE,bias_calibration,YES,YES,,PARTIAL,YES,USE_RAW_COLUMN,LOW,MEDIUM,2
DAG_NODE,governance_constraints,YES,YES,,PARTIAL,YES,USE_RAW_COLUMN,LOW,MEDIUM,2
DAG_NODE,human_review,YES,YES,,PARTIAL,YES,USE_RAW_COLUMN,LOW,HIGH,2
DAG_NODE,realised_outcome,YES,YES,,YES,YES,USE_RAW_COLUMN,LOW,HIGH,2
DAG_NODE,lesson_update,YES,YES,,PARTIAL,YES,USE_RAW_COLUMN,LOW,MEDIUM,2
