store_number,promotion_id,sku_number,human_review_status,active_learning_score,active_learning_rank,active_learning_reason,priority_bucket,human_review_question,active_learning_candidate_flag
772,772|92331|2025-11-25|2025-12-01|772-92331-20251125|Allocation Report - SE4 BLACK (PINK) FRIDAY,92331,PENDING,32.65,1,LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 1.3966 vs model 1.089?,YES
772,772|193148|2025-12-01|2025-12-13|772-193148-20251201|Allocation Report - OP15 12 DAYS OF CHRISTMAS,193148,PENDING,,2,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 0.6897 vs model 1.3?,YES
772,772|51070|2025-12-01|2025-12-13|772-51070-20251201|Allocation Report - OP15 12 DAYS OF CHRISTMAS,51070,PENDING,,3,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 0.6897 vs model 1.3?,YES
772,772|195422|2025-12-11|2025-12-24|772-195422-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,195422,PENDING,,4,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 0.6897 vs model 1.4?,YES
772,772|195434|2025-12-11|2025-12-24|772-195434-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,195434,PENDING,,5,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 0.6897 vs model 1.4?,YES
772,772|44175|2025-12-11|2025-12-24|772-44175-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,44175,PENDING,,6,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 0.6818 vs model 1.4?,YES
772,772|185192|2025-12-25|2026-01-14|772-185192-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,185192,PENDING,,7,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 2.5 vs model 1.4?,YES
772,772|188146|2025-12-25|2026-01-14|772-188146-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,188146,PENDING,,8,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 2.5 vs model 1.4?,YES
772,772|190060|2025-12-25|2026-01-14|772-190060-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190060,PENDING,,9,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 0.7419 vs model 1.968?,YES
772,772|190062|2025-12-25|2026-01-14|772-190062-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190062,PENDING,,10,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 0.7419 vs model 1.4?,YES
772,772|190065|2025-12-25|2026-01-14|772-190065-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190065,PENDING,,11,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 0.7419 vs model 1.354?,YES
772,772|190084|2025-12-25|2026-01-14|772-190084-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190084,PENDING,,12,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 0.7419 vs model 1.35?,YES
772,772|190099|2025-12-25|2026-01-14|772-190099-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190099,PENDING,,13,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 0.6667 vs model 1.793?,YES
772,772|190135|2025-12-25|2026-01-14|772-190135-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190135,PENDING,,14,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 0.7419 vs model 1.565?,YES
772,772|190274|2025-12-25|2026-01-14|772-190274-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190274,PENDING,,15,WEAK_HISTORY;LOW_ATS_CONFIDENCE,TOP_25_HUMAN_REVIEW,Would you order differently given adjacent path 1.4286 vs model 1.858?,YES
