operator_priority_group,action_tier,priority_rank,sku_number,sku_description,decision,recommended_order_units,operator_review_order_low_units,operator_review_order_high_units,promo_units_expected_to_sell,current_soh_units,on_order_units,remaining_promo_sales_stock_gap,remaining_end_stock_gap,confidence_score,data_quality_score,commercial_action_value_score,review_priority_score,no_buy_trust_score,overall_row_priority_score,review_burden_class,commercial_value_score,review_subtype,execution_blocker,reason_demand,reason_stock,reason_order,reason_risk,operator_decision,operator_recommended_units,operator_notes,has_clear_action,has_clear_reason,buyer_can_act_without_audit
order_now_candidate,tier_1_execute,1,15847,Npmu Lg Butter Ginger Snap,BUY,2,2,10,1.765,0,0,0,8,50,94.0,54.5,0.0,0.0,54.5,no_review_required,54.5,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 1.8 units; base-stock required 7.6 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 2 units; base-stock replenishment gap 8 units; raw model 2; commercial recommended promo 2 + base 0 = 2. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,,True,True,True
order_now_candidate,tier_1_execute,2,69352,Plunk Superfade D/P Moistr,BUY,2,2,5,1.0,0,0,0,3,63,94.0,45.0,0.0,0.0,45.0,no_review_required,45.0,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 1.0 units; base-stock required 4.3 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 4 units; raw model 2; commercial recommended promo 1 + base 1 = 2. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,,True,True,True
order_now_candidate,tier_1_execute,3,67693,Rim Wndr'Full Brow Gel Clr,BUY,2,2,5,1.0,0,0,0,3,63,94.0,45.0,0.0,0.0,45.0,no_review_required,45.0,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 1.0 units; base-stock required 4.3 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 4 units; raw model 2; commercial recommended promo 1 + base 1 = 2. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,,True,True,True
order_now_candidate,tier_1_execute,4,15841,Npmu Lg Butter Angel Food Cke,BUY,2,2,5,0.824,0,0,0,3,62,94.0,43.0,0.0,0.0,43.0,no_review_required,43.0,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 0.8 units; base-stock required 3.5 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 4 units; raw model 2; commercial recommended promo 1 + base 1 = 2. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,,True,True,True
order_now_candidate,tier_1_execute,5,483621,Antip Hos C/Plump W/Ser 30Ml,BUY,2,2,4,0.652,0,0,0,2,50,94.0,39.3,0.0,0.0,39.3,no_review_required,39.3,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 0.7 units; base-stock required 2.8 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 3 units; raw model 2; commercial recommended promo 1 + base 1 = 2. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,,True,True,True
order_now_candidate,tier_1_execute,6,193286,Rim Lastfin 35Hr Fndn True Iv,BUY,2,2,2,0.214,0,0,0,0,62,84.0,33.3,0.0,20.0,33.3,no_review_required,33.3,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 0.2 units; base-stock required 2.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 2; commercial recommended promo 0 + base 2 = 2. Recommendation covers promo sales and end-stock target.,Shadow commercial pack; promo cover prioritised over base stock,,,,True,True,True
order_now_candidate,tier_1_execute,7,193457,Embryolisse Lcreme Fluid 75Ml,BUY,2,2,2,0.25,0,0,0,0,59,84.0,33.1,0.0,20.0,33.1,no_review_required,33.1,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 0.2 units; base-stock required 2.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 2; commercial recommended promo 0 + base 2 = 2. Recommendation covers promo sales and end-stock target.,Shadow commercial pack; promo cover prioritised over base stock,,,,True,True,True
order_now_candidate,tier_1_execute,8,194821,Dv Hair+Scalp Ex Hyd Cond500Ml,BUY,2,2,2,0.2,0,0,0,0,54,84.0,31.8,0.0,20.0,31.8,no_review_required,31.8,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 0.2 units; base-stock required 2.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 2; commercial recommended promo 0 + base 2 = 2. Recommendation covers promo sales and end-stock target.,Shadow commercial pack; promo cover prioritised over base stock,,,,True,True,True
review_before_order,tier_2_review_high_value,9,91149,Col Tp Adv Wht Baking Soda 180,REVIEW,21,16,111,21.0,3,0,0,90,47,77.0,100.0,100.0,0.0,100.0,must_review,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 21.0 units; base-stock required 90.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 21 units; base-stock replenishment gap 90 units; raw model 16; commercial recommended promo 21 + base 0 = 21. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,,True,True,True
review_before_order,tier_2_review_high_value,10,88414,Es Lashes To Impress 03,REVIEW,17,15,92,17.5,3,0,0,75,60,77.0,100.0,100.0,0.0,100.0,must_review,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.5; promo cover required 17.5 units; base-stock required 75.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 17 units; base-stock replenishment gap 75 units; raw model 15; commercial recommended promo 17 + base 0 = 17. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,,True,True,True
review_before_order,tier_2_review_high_value,11,96617,Npmu Make Em Wndr Fdn Medium,REVIEW,12,12,66,14.0,10,0,0,54,67,77.0,100.0,100.0,0.0,100.0,must_review,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 8.0; promo cover required 14.0 units; base-stock required 60.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 6 units; base-stock replenishment gap 60 units; raw model 12; commercial recommended promo 6 + base 6 = 12. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,,True,True,True
review_before_order,tier_2_review_high_value,12,91058,Catr Allround Masc Ult Blk 010,REVIEW,14,12,74,14.0,2,0,0,60,67,77.0,100.0,100.0,0.0,100.0,must_review,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 14.0 units; base-stock required 60.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 14 units; base-stock replenishment gap 60 units; raw model 12; commercial recommended promo 14 + base 0 = 14. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,,True,True,True
