metric,score,score_type
all_skus_included,1,structural
one_row_per_sku,1,structural
decision_enum_valid,1,structural
buy_positive_units,1,structural
hold_dnb_zero_units,1,structural
hold_promo_gap_blocked,1,structural
dnb_promo_gap_blocked,1,structural
buy_promo_cover_required,1,structural
promo_base_split_present,1,structural
order_decomposition_reconciles,1,structural
recommended_alloc_reconciles,1,structural
decision_quality_populated,1,structural
human_review_discriminating,1,structural
target_day_one_reconciles,1,structural
target_order_reconciles,1,structural
projected_day_one_reconciles,1,structural
shortfall_reconciles,1,structural
buy_low_coverage_blocked,1,structural
review_positive_labelled,1,structural
manager_reconciles,1,structural
exceptions_reconcile,1,structural
shadow_labelled,1,structural
governance_no,1,structural
has_buy_rows,1,structural
buy_suppressed_demand_blocked,1,structural
dnb_active_best_seller_blocked,1,structural
demand_evidence_fields_present,1,structural
best_seller_escalation_populated,1,structural
action_tier_populated,1,structural
review_subtype_on_review_rows,1,structural
commercial_value_populated,1,structural
structural_report_score,100,structural
commercial_release_score,80,commercial
primary_release_blocker,demand_evidence_not_release_ready,blocker
release_blocker_0,demand_evidence_not_release_ready,blocker
release_blocker_1,customer_release_not_approved,blocker
