stage,component,file_path,function_or_symbol,current_behavior,live_or_shadow,notes
target_engineering,PromotionTargetEngineer,src/state/promotions/targets/target_engineering.py,PromotionTargetEngineer.engineer,Computes legacy targets + parallel sufficient_stock_demand_units_target + repair evidence,live_target_source,Live column remains target_actual_units_sold
dataset_assembly,PromotionDatasetAssembler,src/state/promotions/datasets/dataset_assembler.py,assemble_training_dataset,Merges legacy targets + repair evidence + parallel sufficient-stock columns into training_ready.parquet,both,persisted since Phase 4B.5
preprocessing,prepare_model_input_frame,src/models/promotions/preprocessing.py,prepare_model_input_frame,Builds feature matrix; does not select training target,live_features,Excludes target columns from model input
trainer_entry,PromotionModelTrainer.train,src/models/promotions/trainer.py,PromotionModelTrainer.train,Accepts target_mode; default current_trainer_contract,live_default,target_mode gates shadow comparison artifacts only today
units_target_selection,PromotionModelTrainer.train,src/models/promotions/trainer.py,lines 425-426,Hardcodes target_actual_units_sold for units_linear and units_gradient_boosting fit,live_only,No sufficient_stock_demand_units_target branch yet
units_metrics,PromotionModelTrainer.train,src/models/promotions/trainer.py,lines 453-465,Regression metrics always vs target_actual_units_sold,live_only,
training_sets,PromotionModelTrainer._training_sets,src/models/promotions/trainer.py,_training_sets,Returns fixed legacy target column tuple; no target_weight,live_only,
sample_weights,PromotionModelTrainer.train,src/models/promotions/trainer.py,units_*.fit(...),No sample_weight passed despite target_weight in parquet,none,Sklearn estimators support sample_weight but trainer does not wire it
production_persist,PromotionModelTrainer._persist_models,src/models/promotions/trainer.py,_persist_models,Writes units_gradient_boosting.joblib under model_family_root/{run_id}/,live_production,Loaded by scoring_service and decision_surface_service
backtest_predictions,PromotionModelTrainer._write_test_set_predictions,src/models/promotions/trainer.py,_write_test_set_predictions,Writes test_set_predictions.parquet with raw/calibrated/policy-adjusted columns from live units head,live_only,Uses units_tree passed from production fit
existing_shadow_pattern,PromotionModelTrainer._write_target_mode_comparison_artifacts,src/models/promotions/trainer.py,_write_target_mode_comparison_artifacts,When target_mode != current_trainer_contract trains excess-units shadow models to target_mode_shadow_*.joblib,shadow_precedent,Separate from production units_gradient_boosting.joblib
shadow_paths,PromotionArtifactPaths,src/runtime/promotions/config.py,target_mode_shadow_model_path,model_family_root/{run_id}/target_mode_{model_name}.joblib,shadow_naming,Reuse pattern for sufficient-stock shadow units models
operational_cycle,run_promotions_operational_cycle,src/runtime/promotions/run_promotions_operational_cycle.py,train step,Forwards target_mode to PromotionModelTrainer.train,live_default,Production cycles should keep default mode
multi_slice_eval,run_promotions_target_mode_multi_slice,src/runtime/promotions/run_promotions_target_mode_multi_slice.py,run_target_mode_multi_slice,Runs shadow evaluator across slices without replacing live artifacts,shadow_eval,Template for Phase 4B shadow run orchestration
