target_quality_label,target_weight,applies_to_training_loss,applies_to_metrics,notes
CLEAN_REALIZED_DEMAND,1.00,YES,YES,Full weight when sufficient_stock_observed_flag=1
CLEAN_REALIZED_DEMAND,0.85,YES,YES,Borderline sell-through 0.85-0.98 with no post_14d follow-through
STOCK_CONSTRAINED_REPAIRED,0.50,YES,YES,Post-14d follow-through repair
STOCK_CONSTRAINED_REPAIRED,0.40,YES,YES,Saturated sell-through repair
STOCK_CONSTRAINED_REPAIRED,0.35,YES,YES,Underallocation repair
STOCK_CONSTRAINED_REPAIRED,0.30,YES,YES,Partial selling-window repair
INVENTORY_INTEGRITY_CONTAMINATED,0.00,NO,YES — audit only,Excluded from fit; counted in target quality report
INSUFFICIENT_EVIDENCE,0.00,NO,YES — audit only,Excluded — prevents flat-zero reinforcement
EXCLUDED_FROM_TARGET,0.00,NO,YES — audit only,Explicit exclusion bucket
DEFAULT_FALLBACK,0.00,NO,NO,No default weight for unlabeled rows — fail loud in target engineer
