sku_number,sku_description,priority_band,operator_decision,operator_action,order_units,selected_demand_units,raw_stock_gap_units,projected_stock_gap_units,order_reason_code,stock_position_status,demand_forecast_confidence,reason_short,audit_notes,has_explicit_hard_blocker
92632,Avene Cica+ Mlt P&R Crm Spf50+,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,31,31,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=31; recommended_units=0; confidence_pct=58,True
52115,Rexona W Apd Adv Shwr/F 220Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,26,26,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=26; recommended_units=0; confidence_pct=66,True
195518,Mf Fcefnty Cmpct 001,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,22,22,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=22; recommended_units=0; confidence_pct=62,True
195412,Npmu Pro Fix Stick Cocoa,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,22,22,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=22; recommended_units=0; confidence_pct=67,True
91149,Col Tp Adv Wht Baking Soda 180,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,22,22,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=22; recommended_units=0; confidence_pct=47,True
88414,Es Lashes To Impress 03,REVIEW,NO_PRIOR_PROMO_EVIDENCE_LOW_SOH_REVIEW,REVIEW,0,1,19,19,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=19; recommended_units=0; confidence_pct=60,True
799718,Rosehip By Essano Oil 45Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,15,15,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=15; recommended_units=0; confidence_pct=67,True
88458,Mf Divine Lashes Rich Blk,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,15,15,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=15; recommended_units=0; confidence_pct=59,True
96617,Npmu Make Em Wndr Fdn Medium,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,15,15,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=15; recommended_units=0; confidence_pct=67,True
199053,Npmu Wondr Stck Dual Medium,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,15,15,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=15; recommended_units=0; confidence_pct=67,True
389404,Nivea Men Apd C/Kick 250Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,15,15,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=15; recommended_units=0; confidence_pct=65,True
67690,Rim Btw Pro Pncl Ash Brown,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,15,15,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=15; recommended_units=0; confidence_pct=66,True
91058,Catr Allround Masc Ult Blk 010,REVIEW,NO_PRIOR_PROMO_EVIDENCE_LOW_SOH_REVIEW,REVIEW,0,1,15,15,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=15; recommended_units=0; confidence_pct=67,True
192936,May Eye Makeup Remover 70Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,15,15,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=15; recommended_units=0; confidence_pct=63,True
323608,Cetaphil Eczema Bdy Mst 295Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,14,14,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=14; recommended_units=0; confidence_pct=28,True
90934,Cetaphil Gen Ex Sa Lot 236M,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,14,14,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=14; recommended_units=0; confidence_pct=25,True
