recommendation_type,recommendation,row_count,priority
brain,REVIEW_BRAIN_ACTION_CLASSIFIER,28,HIGH
brain,REVIEW_UNDERSTOCK_SEGMENTS,23,HIGH
brain,REINFORCE_LONG_TAIL_VALUE,18,HIGH
brain,REVIEW_ALL_ACTORS,1,LOW
brain,REVIEW_BRAIN_WEIGHTS,1,LOW
data_quality,MAINTAIN_BASKET_EVIDENCE,18,HIGH
data_quality,REVIEW_DATA_QUALITY,1,LOW
data_quality,REPAIR_SOURCE_QUALITY,1,LOW
governance,MAINTAIN_HUMAN_REVIEW,28,HIGH
governance,REVIEW_GOVERNANCE_THRESHOLDS,23,HIGH
governance,MAINTAIN_GOVERNANCE,18,HIGH
governance,REVIEW_GOVERNANCE,1,LOW
