step,stage,file,function,line_ref,input,output_column,semantic,unit,notes
1,model_inference,src/runtime/promotions/scoring_service.py,PromotionScoringService.score,200-204,model_input features,raw_predicted_units_sold,DEMAND (intended),total promo-window units,units_model.predict; flat 0.0528 cohort for 84% se01 SKUs
2,allocation_calibration,src/models/promotions/allocation_calibration.py,apply_allocation_aware_units_cap,13-100,raw_predicted_units_sold + probability upper bounds,calibrated_predicted_units_sold,MIXED — named calibration but behaves as allocation-risk cap on demand,total promo-window units,"Caps 55.5% rows to min(raw, effective_upper_bound); uses allocation discipline scores"
3,order_policy,src/models/promotions/order_policy_adjustments.py,build_order_policy_adjustments,107-539,calibrated + diagnostics,adjusted_order_cap_units (+ policy_adjustment_reason),ORDER/RISK CAP (correct intent),total promo-window units,"Caps to baseline+uplift shares; sparse_history, weak_elasticity rules"
4,DEMAND_OVERWRITE,src/runtime/promotions/scoring_service.py,PromotionScoringService.score,221-225,adjusted_order_cap_units,policy_adjusted_predicted_units_sold → predicted_units_sold,BROKEN — order cap written into canonical demand field,total promo-window units,PRIMARY BUG: predicted_units_sold = adjusted_order_cap_units
5,derived_metrics,src/runtime/promotions/scoring_service.py,PromotionScoringService.score,231-242,predicted_units_sold (already policy-capped),"predicted_units_first_day, predicted_sales_ex_gst, predicted_sell_through_pct",CONTAMINATED — derived from order cap not demand,mixed,Sell-through and sales use capped demand
6,decision_surface_persist,scoring pipeline → decision_surface CSV,artifact persist,n/a,scored_rows,"predicted_units_sold, raw/calibrated/policy_adjusted columns",Canonical pre-Stage-11 field is polluted predicted_units_sold,total promo-window units,Stage 11 reads predicted_units_sold as forecast source rank 4
7,trainer_backtest_export,src/models/promotions/trainer.py,_write_test_set_predictions,1491-1495,policy_adjusted,predicted_units_total_promo,BROKEN — backtest canonical prediction is policy cap,total promo-window units,Inconsistent: policy replay uses calibrated at L2454
8,stage11_policy_reapply,src/surfaces/promotions/reporting/store_prediction_download_builder.py,_build_download_frame → _build_download_forecast_outputs,"1456-1480, 2218-2226",adjusted_order_cap_units,predicted_units_total_promo_raw (capped),BROKEN — order cap applied as ceiling on resolved forecast total,total promo-window units,785 se01 rows: resolved source >=3 crushed to ~0.05
9,stage11_integerize,src/surfaces/promotions/reporting/store_prediction_download_builder.py,_integerize_forecast_total_units,6148-6155,predicted_units_total_promo_raw,predicted_units_total_promo,MASKING — 0<val<0.5 → 1,integer total,Hides collapse; do not use as repair
10,demand_contract,src/models/promotions/allocation_demand_forecast_contract.py,build_demand_forecast_contract_frame,Stage 11 integration,model_promo_window_units=predicted_units_total_promo,selected_demand_units,CORRECT BEHAVIOUR — faithfully passes collapsed input,integer total,Do not patch unless demand input fixed upstream
